,State,County,FIPS,Democratic,Republican,Party
160,TX,mason,48319,3316.5391739823644,0.0,0
161,NV,humboldt,32013,0.0,12090.036414646618,0
162,IN,noble,18113,1694.7810095171662,9425.22060410011,0
163,WI,dunn,55033,8922.21836687259,10631.928541647514,1
164,NY,lewis,36049,0.0,6941.887354766268,0
165,IN,orange,18117,0.0,2437.1981783458723,0
166,TN,crockett,47033,513.339835735791,251.979661941441,0
167,MT,beaverhead,30001,9404.790181134711,2652.634618600903,0
168,MN,le sueur,27079,3985.9744233975507,13486.135489278713,0
169,MI,berrien,26021,37381.934841443464,23392.12794236649,0
170,NY,otsego,36077,18360.494274590892,12308.63072788406,0
171,TX,matagorda,48321,311.62178990450775,3763.2331298688514,0
172,OH,marion,39101,4721.867191959249,17531.25686644341,0
173,WI,washburn,55129,5385.682345155616,5106.454289828989,0
174,TN,cocke,47029,2720.4371350470246,7104.306212525038,0
175,TX,orange,48361,7785.359414262115,20492.200745041013,0
176,MT,yellowstone,30111,36596.709198986675,33083.51588935731,1
177,MD,carroll,24013,46236.28068537364,46375.71766418263,0
178,UT,wayne,49055,6372.672264672568,0.0,0
179,WY,park,56029,14861.82508032847,17357.087033374763,1
180,PA,pike,42103,15951.9509708503,14862.985235523067,0
181,MI,lenawee,26091,16525.982451441396,20955.941590122,0
182,NJ,burlington,34005,105689.76449783362,78035.86269080327,1
183,WI,iowa,55049,4671.8347705376145,7919.775879507955,0
184,PA,huntingdon,42061,2750.8040552858693,10488.870052059796,0
185,PA,berks,42011,85776.0541228125,67233.1408742899,1
186,IN,knox,18083,0.0,12969.332999222555,0
187,ND,ramsey,38071,1750.248548738553,9035.020181338616,0
188,WA,klickitat,53039,10117.426307247091,7264.955326353145,0
189,TX,howard,48227,0.0,12019.420996770472,0
190,MD,queen anne's,24035,24733.05093086955,27884.438874147974,0
191,VA,buckingham,51029,1463.2479365974468,0.0,0
192,VA,rockingham,51165,23539.73085790491,18024.942409981202,0
193,IN,henry,18065,5158.535407811487,16627.82516389051,0
194,CT,litchfield,9005,52423.259032419584,40867.50403105891,1
195,PA,erie,42049,60342.96534036791,43910.98294810279,0
196,NY,albany,36001,79332.7720165531,48077.88057059755,1
197,PA,bucks,42017,144545.5972982789,103363.88213500044,0
198,WI,buffalo,55011,0.0,2595.8302169714734,0
199,PA,mckean,42083,4178.836067528358,10217.268969785322,0
200,NJ,cape may,34009,31001.936235175795,34508.31073407383,0
201,TN,haywood,47075,0.0,0.0,1
202,PA,fulton,42057,0.0,4522.529779494833,0
203,TX,jim wells,48249,0.0,14755.137972056971,0
204,TX,lee,48287,0.0,4045.5161630162183,0
205,TX,williamson,48491,112902.02210156812,75999.17993371829,0
206,TN,knox,47093,104814.71930325878,66954.37236552605,1
207,IN,putnam,18133,0.0,11227.063327376924,0
208,OH,noble,39121,0.0,9503.495600633729,0
209,WY,big horn,56003,0.0,515.3740378705697,0
210,MI,ionia,26067,4948.37777508724,13436.890607412317,0
211,IN,daviess,18027,3644.002542309965,11864.71647982844,0
212,VA,cumberland,51049,2242.3363207421353,0.0,0
213,ME,waldo,23027,17471.36282181525,4272.613145913074,0
214,TN,scott,47151,0.0,5059.19792323997,0
215,NE,stanton,31167,0.0,5478.176733247112,0
216,MN,sherburne,27141,18651.154288877904,27730.047169990845,0
217,NE,boyd,31015,0.0,0.0,0
218,NY,orleans,36073,4148.044178685366,9384.541806359002,0
219,WI,vernon,55123,6513.417350824442,6658.967620093283,0
220,WI,oconto,55083,3175.261375956652,9678.870798330023,0
221,VA,louisa,51109,12798.738729793511,3708.901138550922,0
222,ME,aroostook,23003,13977.079807456019,5790.2046780723085,0
223,FL,sumter,12119,42214.03676520231,47708.1361590735,0
224,TX,newton,48351,0.0,0.0,0
225,MN,cook,27031,22811.348841849544,0.0,0
226,TX,brooks,48047,0.0,8260.657427550186,1
227,WY,hot springs,56017,4226.82240330465,14036.414164348154,0
228,MI,kalkaska,26079,0.0,4639.046377064222,0
229,FL,levy,12075,2223.826467528732,3011.792738931432,0
230,WV,harrison,54033,16156.185351585711,19361.200398238485,0
231,PA,butler,42019,49496.75332994208,39110.25748848715,0
232,WI,price,55099,1069.9695835316052,0.0,0
233,WI,shawano,55115,2014.0245511382127,8179.876869956057,0
234,TN,carter,47019,12213.510956558832,13659.988830223043,0
235,NY,genesee,36037,10958.778331340767,14438.776667457925,0
236,MT,missoula,30063,40021.531628104385,22328.717687531273,1
237,NY,jefferson,36045,17133.348946260376,20724.44683793594,0
238,MN,itasca,27061,9393.985219728542,10326.252398440658,0
239,ND,williams,38105,506.35794494129004,27140.906087454827,0
240,WY,sheridan,56033,13491.820858192903,14770.89823476169,0
241,NE,garden,31069,1804.342414835075,0.0,0
242,TX,coleman,48083,0.0,10482.51222631469,0
243,ND,ward,38101,11205.762396157645,19993.60770879097,1
244,OH,wood,39173,30868.62034637719,28226.249688272794,1
245,WV,wirt,54105,0.0,0.0,0
246,NE,box butte,31013,0.0,13894.17928910242,0
247,NM,los alamos,35028,47879.66165385059,33956.78201680704,0
248,NY,bronx,36005,289943.9051968697,162942.25777468324,1
249,NM,sierra,35051,3653.5873686021805,16981.583533327568,0
250,FL,palm beach,12099,298891.3522965777,181256.8399696913,0
251,TX,haskell,48207,4390.197608828403,0.0,0
252,MI,midland,26111,26749.16021789037,20494.369339791938,0
253,NE,blaine,31009,0.0,0.0,0
254,VA,bedford,51019,24995.814575778535,15424.919376799699,0
255,OH,paulding,39125,0.0,4479.9183863824965,0
256,UT,millard,49027,0.0,1282.9202757564562,0
257,NJ,essex,34013,173439.88395980737,92203.11261494625,1
258,TN,humphreys,47085,0.0,5246.830498819849,0
259,UT,washington,49053,31491.125244117247,34247.43637908901,0
260,TX,briscoe,48045,6241.400939733361,0.0,0
261,TX,wise,48497,6804.4163051738615,10559.729106382603,0
262,FL,volusia,12127,105514.7594829583,75525.24804841838,0
263,PA,schuylkill,42107,25073.781928835604,30680.597478412878,0
264,TX,willacy,48489,0.0,1883.2653178080982,1
265,CT,new london,9011,65100.585854234174,48860.20343308391,1
266,TX,kinney,48271,0.0,528.5738957680041,0
267,NE,saline,31151,0.0,0.0,0
268,MI,tuscola,26157,2981.538084703974,9681.820885815137,0
269,ND,slope,38087,14137.587841202168,4820.231096562395,0
270,TX,val verde,48465,3667.926567187573,7951.814183963461,0
271,WI,fond du lac,55039,19535.933904717655,23960.88303189959,0
272,VA,powhatan,51145,15155.242838637454,12132.078483982586,0
273,ND,richland,38077,310.54269016107355,11429.728138202117,0
274,VA,york,51199,34114.07286290365,29612.09146122216,1
275,MN,dodge,27039,1474.2305958472753,15449.269549894158,0
276,TX,dickens,48125,0.0,3545.2798302421106,0
277,FL,jefferson,12065,9316.981355681919,0.0,0
278,TX,titus,48449,869.2036790547718,0.0,0
279,MN,lyon,27083,5873.353963784244,4455.223844130498,1
280,TX,hall,48191,0.0,0.0,0
281,IN,spencer,18147,0.0,5880.624654569059,0
282,WI,marquette,55077,0.0,3794.940468248551,0
283,MI,allegan,26005,21074.114699373113,20378.034911004877,0
284,ME,kennebec,23011,28925.394828777342,20564.00713931186,0
285,TX,hidalgo,48215,161288.7345870471,99758.035247859,1
286,MD,montgomery,24031,246976.79456118614,135698.12748919355,1
287,OH,wyandot,39175,0.0,11134.348986650068,0
288,UT,summit,49043,37256.79369776168,21582.15429556099,0
289,UT,rich,49033,0.0,516.1550064735566,0
290,VA,clarke,51043,15222.542669890565,16247.394669094643,0
291,NE,kearney,31099,1294.827162556092,9834.006343652361,1
292,PA,mifflin,42087,3552.533434140667,14354.113324358132,0
293,MI,charlevoix,26029,13470.32518723155,10075.108184503684,0
294,TX,walker,48471,11149.815337498136,0.0,0
295,NE,thurston,31173,0.0,0.0,1
296,ND,traill,38097,5613.787603370376,2041.1430226470766,0
297,IN,clinton,18023,0.0,8736.33251524683,0
298,ME,sagadahoc,23023,19982.154140576928,12364.221122429535,1
299,AZ,greenlee,4011,0.0,9378.658470455384,0
300,OH,meigs,39105,125.62875164803336,7316.379830297463,0
301,VA,hanover,51085,36214.67430640427,33052.81381099888,0
302,MT,chouteau,30015,1549.8142044932501,0.0,0
303,WI,sauk,55111,12652.197142519379,16854.22603722507,0
304,ND,mchenry,38049,403.2916639992909,5576.858590264916,0
305,TX,concho,48095,2798.587078489214,0.0,0
306,MN,todd,27153,0.0,4494.349964565456,0
307,WV,mingo,54059,2868.4549849749746,6188.605763728816,0
308,MN,winona,27169,13226.77654219542,15857.835734717464,1
309,VA,rockbridge,51163,13911.178203372076,8509.018131687802,0
310,NY,rensselaer,36083,39226.63002927531,33148.09670253865,0
311,MI,isabella,26073,12380.09386919839,10358.390728791835,1
312,TX,wharton,48481,419.5346875723153,5992.126733354386,0
313,MD,harford,24025,62877.4767244861,53618.89183668108,0
314,OH,van wert,39161,0.0,13488.725917084263,0
315,TX,madison,48313,0.0,0.0,0
